licensePlate,longitude,latitude,city,state,speed
4-2288B,101.766855,79.694526,West Kristopher,Iowa,68
855TOP,-1.616434,-27.559417,Johnfort,Wisconsin,94
826 YBL,164.81867,-25.054565,Malloryshire,North Dakota,64
LSL-121,-158.509567,63.5643585,Aprilburgh,North Dakota,110
ZNP 970,-112.927096,-42.634302,Thomasmouth,Ohio,96
T07 6WC,-10.535853,-69.4456195,Smithborough,Wyoming,80
1M Z3492,-65.430434,25.1177065,Rachelview,North Carolina,108
ELQ A17,-154.979852,23.878478,North Laura,California,107
6VJ 297,-40.649314,-46.8153525,Blanchardfort,Arkansas,98
MMR7176,-61.196859,-84.4925735,New Scott,Georgia,99
8P 93228,17.653199,-3.6270505,New Summer,New Jersey,67
1QS06,-59.706807,37.843698,Laurashire,Michigan,76
129 VM5,-7.649421,45.2687965,New Amanda,Wisconsin,98
4SEE874,93.524818,-22.361425,Port Danielle,Delaware,86
30JF625,-121.013405,-43.9591515,Montgomeryview,New Mexico,71
356 GVI,120.886019,-33.2255895,North Stephanie,Wisconsin,84
569 XPQ,-74.892731,-48.896025,Martinbury,Oregon,74
YNZ 098,24.743689,-82.128819,Garyberg,Kansas,70
WNW-969,-138.166775,-17.4492185,Port Deannaville,Oregon,60
606 QD3,69.946019,-7.5767935,Lake Peggymouth,Indiana,82
681-ZQV,-68.183355,68.093564,Andrewhaven,South Carolina,83
0-E9868,28.933436,-36.350016,Davidtown,Washington,110
952 CKT,109.813737,68.8162035,Jonesland,New Jersey,62
791 GBU,-89.249786,-2.805042,Nicholasshire,South Dakota,84
IHF-3142,103.169233,47.7403595,West Kevin,Michigan,83
C34-25C,-30.707316,78.6565925,Port Madisonhaven,Idaho,67
836PTY,-86.640618,46.012509,East Amy,Washington,98
8FB1539,-10.443568,-13.732889,Port Roberttown,Oklahoma,84
N44 7BX,137.262342,-55.775814,North Stephen,North Carolina,75
QMQ 756,-98.755824,51.807819,East Jennifer,Indiana,104
J 271411,155.865182,69.081032,New Denise,Illinois,109
A60 0QR,165.405915,74.8772555,Perkinsfurt,Idaho,101
7P 50572,5.059019,66.549943,Lake Jessicaton,Ohio,107
112 ZDG,77.167971,-12.2008345,Lake Michele,Maine,96
590-ZWJ,-11.97437,-69.0440695,Lake Caitlin,North Carolina,86
510 DPR,-159.840899,23.1402965,New John,Michigan,106
722 1JK,-113.765052,-26.0656715,North Paul,Delaware,81
4ZC23,76.914631,-25.456667,South Linda,Mississippi,93
0CQ26,-17.246468,-20.179356,North Jamieberg,New Mexico,101
56S GX8,72.863228,-79.5932495,East Rhondamouth,Idaho,106
658-275,3.742605,63.1435705,Mortonside,Montana,60
MKR0816,86.271182,-28.424114,Christopherview,Wisconsin,73
898GE,15.287877,-78.787359,East Benjaminborough,Missouri,73
GDV-343,-16.560491,67.4834735,South Johnchester,Wyoming,89
WCO-074,-137.957406,-89.6566345,Duffymouth,Vermont,100
935-HYM,43.13126,-74.1479525,New Emily,California,78
2TB1784,-31.498358,80.7554435,Hernandezstad,Missouri,99
5CM 836,-85.081626,41.1118615,Melissamouth,North Dakota,70
410 CUZ,28.240692,41.0845325,South Theresa,New Jersey,97
AFT 032,85.02155,-23.137294,Hensleyside,Vermont,95
32S FF5,130.534453,35.0378175,Anthonymouth,Mississippi,71
815 IGL,-98.274021,-69.253658,Amymouth,Massachusetts,98
FQD 704,124.950607,-67.204844,Jenniferville,Washington,95
7WD 214,122.466948,39.1600965,Hubbardhaven,Missouri,98
MCD 222,-35.293509,87.123518,West Hollyview,Alabama,110
8ZFL 60,-118.34513,-0.491785,North Seth,Wyoming,100
5K 0860V,108.891666,-8.443491,East Wendy,Iowa,63
36P K97,-12.909332,-13.495656,Port Alison,Colorado,104
CLU4586,145.125723,-20.4877195,Avilaton,South Carolina,71
LME 166,21.146337,44.746471,Joannaberg,New Mexico,87
AA3 Q9H,-46.634432,-65.75883,North Jodiland,Pennsylvania,91
MSZ 387,-64.928546,52.779079,South Franciscoland,New Hampshire,74
LOK 098,-62.377323,12.318387,Dianaland,New Hampshire,64
948 CMR,-142.254126,-23.870443,West Rachel,Nebraska,93
629 IME,-47.508227,-24.1736945,New Joshua,Kansas,75
869 EDC,0.924894,-88.1779565,South Breannamouth,Massachusetts,91
221 5CK,-117.291176,-41.5446025,Garciaton,Minnesota,90
04RQ2,15.75073,-28.4043105,New Scott,Vermont,103
S00 4QL,-66.767291,24.6488005,Fergusonborough,Iowa,73
ETG-817,-73.267082,-70.30076,Michaelberg,Rhode Island,109
151 BWS,-17.677551,39.638173,Smithstad,Arizona,89
0J 1305S,176.656859,78.1375765,North Josephport,Indiana,100
5380 OH,-6.882327,40.50841,Colemanmouth,North Dakota,79
VPQ 237,-168.861654,57.212609,Janicefort,Maryland,100
UT 6335,78.125019,29.5928055,Carterhaven,Connecticut,108
541DRZ,-12.617343,89.365441,West Bruceville,Massachusetts,110
WMS-3206,-20.016914,28.313284,North Christineland,Arizona,90
374 RXA,-33.874769,71.6105855,Jonathanshire,Hawaii,72
CXS6986,111.774675,-31.384107,Katrinaview,Rhode Island,100
N41 9XU,-117.663142,-1.0072755,Conradbury,Virginia,109
877 ECV,-94.200829,-21.859829,South Robert,Wyoming,100
422 WYM,-81.641475,82.6719325,Port Curtis,Montana,104
BDF 969,-66.118036,85.2966985,Port Michaelfort,New Hampshire,110
M13 2CW,-130.001679,-42.2384465,West Ryan,Montana,74
329 FKX,27.217934,48.4724045,Littletown,Michigan,89
95HB3,21.949525,-80.869087,Port Phillipbury,Arkansas,92
ZGS-7544,143.94758,-44.444898,Wendychester,Alabama,97
587 UUY,-99.408148,66.245914,New Gloriaton,West Virginia,85
BWY 239,114.556333,8.7164575,West Dianamouth,New Mexico,69
1YX7034,-179.331122,-76.406459,Andersonville,Minnesota,107
969-019,115.604941,-60.6501875,Melissaton,Louisiana,99
2JR O48,178.693356,28.347999,Lawrencebury,Michigan,72
46-9295S,163.590409,-88.985089,Port Josephtown,Vermont,76
2SO9748,131.235383,33.367517,Deanland,New York,78
958 RRF,86.933865,-26.1341825,West Jamesberg,Maine,63
021 GJR,170.405948,33.8646285,North Heidi,Florida,66
5AS 700,19.519159,2.861624,Stephenshire,West Virginia,86
09FN823,-30.426908,-77.1008365,Leonport,Oregon,64
37-N042,-68.741533,-5.425351,Port William,California,103
379 WKL,10.954067,-11.174118,New Nicholasmouth,West Virginia,97
KBH 924,-95.921434,-20.2173505,Taylorstad,Arkansas,101
115 VQI,-66.583266,-77.461239,West Bobby,Ohio,98
457-RKF,66.876916,58.9896025,West Luke,Texas,62
XHK 296,0.824298,-22.958472,New Kimberlyfurt,Arizona,108
834690,32.69504,-47.225054,Port Matthewchester,Alabama,94
PBI 141,129.491389,-0.073668,Webbstad,Hawaii,66
1G596,-66.831535,-46.4712085,North Anthonyfurt,Arkansas,103
KVT-715,150.785931,-57.904412,West Anthony,Hawaii,94
MX 50914,98.74244,81.797009,North Marvinport,Iowa,84
671-XHRJ,-31.019763,59.2166995,Boltonhaven,Arizona,93
GYT-181,8.844799,82.2755115,West Alan,Mississippi,106
654N,161.908507,-89.7038595,East Natasha,New Jersey,108
2UK44,-59.717763,78.196658,Christopherchester,Illinois,86
LYO 752,121.077215,-34.5174215,Andersonfort,Nevada,78
785V8,10.555844,-58.9906555,Benjaminmouth,Georgia,105
IBG-0310,83.430302,38.6581715,New Kelly,Idaho,89
233 ZHK,65.566554,5.2107055,Elizabethport,Pennsylvania,109
DGZ6865,168.968304,-49.7278255,Port Andreatown,Wyoming,72
535VPL,85.223107,10.6246975,Paulburgh,Maine,103
YCW-3131,-148.527735,10.6467225,West Kaylaton,Rhode Island,81
HWX 157,-125.408882,63.6771745,Smithland,North Dakota,92
WLD-4472,-18.671456,-6.6806735,North Jennifer,Georgia,93
068L9,138.774911,-52.4157285,South Nicholas,Montana,61
866-EER,50.584197,-7.248786,North Sandratown,Texas,89
396 AF8,87.017901,-37.0680335,Robyntown,Pennsylvania,98
9GT 097,66.153275,71.8753665,East Melissaview,Washington,65
689-GFF,134.14692,51.840927,East David,Missouri,63
51A S25,28.414718,-58.1384555,North Kathryn,California,70
FSX-249,-148.882595,-64.5236465,Davidshire,New Hampshire,78
QEG0572,173.278752,29.0522855,Kristafurt,Texas,96
ZJK 061,-30.599067,-23.579641,West Jeffrey,Connecticut,88
858 4266,-3.255989,-28.4154835,Johnsonland,Illinois,60
OMK-0300,-106.036681,78.6917335,North Kevinborough,Georgia,92
UAR-949,-109.815365,-78.4663255,Kyleland,Alaska,80
2-L7097,28.628752,-55.7431555,Downsfort,Vermont,84
4GX5356,-59.839375,-25.728603,Lake Joshua,Kentucky,83
254OIK,-79.938849,-49.801318,New Stephanie,Virginia,74
3-3482V,159.773547,-36.3922985,Lake Heathershire,Maryland,97
308-PVM,-94.91783,-79.152238,Tamarastad,Florida,75
3WV 991,-135.172248,33.88502,Annton,Illinois,71
ZRN-4462,84.330143,-11.6356625,South Darrell,Oklahoma,70
7-74836X,-18.883895,-47.3702825,North Makaylahaven,Mississippi,82
57F 308,8.475896,15.543279,Lake Sandyburgh,New Jersey,79
B 410322,-167.004321,-68.7417145,West Curtisburgh,Vermont,105
S42-07E,-77.92593,28.73932,Lake Stephen,Kentucky,76
894 CLV,-164.027197,80.7183065,Marcusfurt,Nebraska,60
EWB 102,-172.037325,-34.358257,Carterfurt,Wyoming,108
171 7KQ,-39.230784,59.968299,Georgeberg,North Carolina,108
85Q U56,-69.63049,29.128752,Mcneilside,Maryland,86
1HO 224,-162.663462,34.138136,South Timothyberg,Nebraska,68
057 KMV,115.526551,-82.056012,Mathisberg,Wisconsin,87
007LES,47.74889,33.9848595,East Joshuaton,Maine,80
UI 80482,16.022813,36.5177415,North Jose,Wisconsin,90
Y59-WGZ,173.949248,35.754038,Port Sally,Iowa,77
488-981,78.979279,89.70212,Lake Jasmine,New York,60
NPI 320,108.400309,-88.242128,South Derrick,Mississippi,99
514WL,77.396388,-42.3862245,Heatherchester,Texas,75
ZIV-1671,-60.982005,-11.133869,Georgefort,Iowa,101
LQR2193,41.919184,-54.5381045,Angelicaborough,Alabama,92
ZVK 247,-125.827953,9.9553265,West Saraberg,Missouri,90
54-YV18,-12.872452,-11.0962195,Lauraport,Minnesota,73
0N 7P6BZA,-128.494132,88.3602055,East Jacobtown,California,79
51-GE48,-21.118591,-26.523786,West Matthew,Utah,61
H24-UMR,-152.548372,-5.319168,South Nancy,Rhode Island,65
928 7ER,-125.307965,64.393681,Port Danielhaven,Utah,102
TR 9090,-159.964154,-20.403205,North David,Arkansas,60
65L IR6,70.076733,38.4398815,Michellechester,Oregon,82
983 VCQ,177.128865,74.0282235,West Katrinaborough,Texas,76
60-03974,150.861517,46.9500505,Robbinschester,South Carolina,96
1AAO965,116.105851,-24.257656,Zacharyton,Illinois,74
NNX 969,-62.923506,64.087212,Lake Williamfort,Alaska,93
6GEX 85,-48.20659,-31.35727,Brooksside,Georgia,81
KXZ-0826,-155.31556,-72.5582465,New Steven,Massachusetts,82
QUL 554,-126.139893,-57.785722,New Courtney,Massachusetts,61
F85-JDA,19.90697,-60.3642505,East Cory,Wyoming,76
71-Z398,130.406625,41.597004,Rossfurt,Pennsylvania,74
GZJ-7620,-53.669537,82.6802015,Coleshire,Delaware,101
145RFY,68.905464,-22.596618,Petersland,Tennessee,84
039-QXC,-6.607924,-63.5414745,North Joel,Kentucky,92
JFD-3318,3.558771,67.523684,South Yvonneport,Utah,98
538M9,9.127242,26.006809,Ibarraborough,Wyoming,95
49E 2704,-10.786227,-16.7211455,Williamsshire,Kansas,81
805-NSA,175.475477,-13.563478,Coreymouth,Arkansas,94
WZU 871,-85.894536,-51.36913,Johnsonmouth,Alabama,109
VXV-559,-161.727625,18.4106645,Port Derrickton,Virginia,84
7VM J16,-79.931609,-64.697129,Port Anthonyville,Mississippi,79
90-55012,140.808494,-68.1825585,Christianville,Alaska,75
18F 1858,34.566733,25.485331,Josephland,New Hampshire,76
95B•140,20.45432,-59.9641925,Port Brittanybury,Utah,103
DDQ-7959,35.026962,-61.9507585,South Amandafort,Indiana,72
9UF 186,113.144894,-27.29626,Wheelermouth,South Dakota,110
518-OVS,-149.977388,-69.431884,East Hollymouth,Oklahoma,88
ZLK-419,21.171328,-13.51862,Oconnorton,Illinois,105
488 1252,-161.641006,-54.379708,Danielshire,Washington,84
LL 61153,131.158101,56.2508675,Port Douglas,Iowa,79
5DXV 15,151.195163,-57.744442,Dianaview,Arkansas,95
703IO,171.074554,48.457284,Michaelview,Illinois,86
89626,26.161901,-74.0179905,Villarrealberg,Florida,102
7V 3Q9GRX,118.099489,-76.4836565,West Amyhaven,Louisiana,91
28T 085,-83.265311,-14.6890095,Brownburgh,Washington,64
739 PFK,126.09612,-29.2889305,Weberchester,Montana,93
0-6353P,-170.845029,-37.039486,Madisonburgh,Kentucky,69
V32-AAS,-67.563722,-73.8153935,Heatherberg,New York,74
N62 0QO,51.395424,-24.1233785,East Saraberg,South Carolina,77
25-RC91,-88.776648,80.4616715,Katrinaport,New Hampshire,67
0FOL126,108.595136,21.2283875,Port Joel,Alaska,103
HB4 O6B,-44.818509,56.217008,Trevinoburgh,Alaska,69
9N BT209,-171.118377,35.259994,West Tamara,New Mexico,101
63-3974Y,-150.331497,40.766386,Deckerland,Wyoming,78
8740,22.139434,66.4630505,Angelaburgh,Michigan,63
POQ0354,69.278916,36.624135,Laurenmouth,Montana,94
LUL 796,61.106325,-7.0639535,New Trevor,Hawaii,66
7125 UI,83.029961,55.762504,Lake Karenview,Connecticut,101
6JD N60,72.567076,27.8854655,Michelleburgh,Pennsylvania,96
899 USE,24.999979,-44.6843455,Mileston,Oklahoma,106
067 WD4,30.713964,-74.520222,Lake Briannachester,Georgia,97
Z11 4ZF,176.39356,12.461589,New Sylvia,North Carolina,93
GAZ 249,69.891013,-27.780467,Port Brandonshire,Florida,104
47N BP9,-159.894735,54.243044,Hollychester,Virginia,78
FFE-3714,-34.312406,-41.196047,North David,Michigan,85
5-54951S,-108.602333,31.911867,New Stephaniechester,Wyoming,87
371 VNZ,81.767249,-11.203881,Victorport,Alabama,87
179DLU,55.05544,-19.2534375,Richardstown,Hawaii,78
793-MRY,173.9271,25.176487,Bonniechester,Maryland,82
7YIO806,54.691175,-43.9667505,West Bruce,New Jersey,85
RG-7692,153.159507,10.711897,Lake Alexander,New Mexico,107
7ND 255,-23.472707,-59.778358,Gonzalesshire,Kansas,65
4E 90847,-113.694107,-5.5238985,Jacksonchester,Michigan,82
9JLO 49,-150.625538,48.048197,Collinsside,Pennsylvania,84
25W 4847,-37.175496,48.871185,North Zacharyville,Nebraska,103
808 VV9,137.980285,68.6397275,Andrealand,Arizona,102
776 2UM,17.983041,17.229077,South Christinabury,Idaho,95
6-74031,86.040196,63.0978635,South Roberthaven,Minnesota,67
SZF 651,-115.667926,-72.4757575,Nicholeburgh,North Dakota,90
604-EBM,-18.220574,-33.0987405,New Rachelmouth,West Virginia,79
TVM8556,93.817427,-82.1562195,Alexandrastad,California,86
0RRA264,-91.245937,79.3831925,South Bradleytown,Nebraska,94
2-7445C,74.745934,34.366943,Trujillomouth,Washington,84
4QEP 42,-70.841113,-28.222121,North Michele,New York,107
843-753,-14.94316,37.256003,West Marie,Texas,101
589Y,-143.8061,5.489562,Johnsonberg,Missouri,62
B63-78J,66.985985,36.3652175,North Roy,Arizona,92
XGU 418,92.922371,35.4358215,Finleyport,Delaware,72
8AP 834,-22.987592,85.1912125,Williambury,Florida,94
600 NEB,61.496719,-48.13972,North Rebeccaville,Rhode Island,70
95MP736,-149.189112,51.5412795,Lake Todd,Georgia,98
5V 5399O,99.31272,-87.204902,Melissamouth,Florida,77
0H 4266Z,-90.779563,46.3881845,Lake Jameschester,Virginia,87
23T CB1,-85.029983,88.753529,East Nancyport,Rhode Island,83
BAW-9608,135.444546,30.915917,Clintontown,Indiana,109
3-4628O,173.803629,63.8057325,Christophermouth,Rhode Island,79
2828 VF,67.934204,50.6203705,New Phillipmouth,South Dakota,89
HGG-4601,29.186595,-41.797189,New Oscarfurt,Hawaii,100
51Q 1320,-3.810652,10.510944,Mackbury,Arkansas,81
8NVM 47,-63.290333,44.0634665,Deniseton,New Mexico,88
LRI-744,125.995047,50.725512,West Rebeccahaven,Pennsylvania,100
618 2415,140.337113,20.78233,Samanthafurt,Iowa,78
90963,134.796373,79.2479685,East Heatherbury,Kansas,71
0JX 247,-117.02627,64.9919965,South James,Arizona,69
LGZ 594,-15.124121,-1.4651355,North Angela,Tennessee,80
24GH4,-143.397921,-34.2174025,North Rachel,New Jersey,74
069 LA8,33.767329,74.864501,West Amber,Wisconsin,99
420-YUG,-143.685936,67.802043,West Jillianburgh,Hawaii,87
5GO 243,100.58219,-48.9655555,Wagnerborough,New Mexico,91
6Y C7212,4.228599,82.112685,South Lisaport,Oregon,110
73-1751S,120.582001,85.3121105,West Michael,Arizona,99
729LNO,155.004515,-35.638769,Lewiston,Indiana,78
014 NRY,-153.700901,63.9237175,Port Wendy,Arizona,77
F45 3YA,-10.814704,-83.96555,Robinsonville,South Carolina,67
V39-21P,121.859318,-19.8320095,North Sierra,New Jersey,90
YIG3306,25.858007,-74.2802845,Garciaberg,Alabama,93
BTG B78,-10.303443,13.531824,Derrickhaven,New Mexico,80
UCA5868,-125.021334,-3.591574,East Christine,Virginia,63
LGZ 365,-59.745104,-40.7135015,Littlehaven,New York,94
UWS 452,121.775258,31.1155805,Joshuaport,Missouri,66
37B ID8,-94.064199,-50.405808,West Jenniferberg,Pennsylvania,104
62-07324,131.657921,-9.37947,Michaelshire,Arkansas,99
238-ACG,-26.168991,33.500449,East Amy,New Mexico,78
I 523975,-4.71872,-55.420796,Karenberg,Rhode Island,86
RLE-7682,95.758795,-6.922946,Johnsonberg,North Dakota,104
BUS-3588,18.619497,-48.1749395,East Teresaberg,Virginia,98
4-06756T,-42.691393,81.6440835,New Katherine,Connecticut,104
ZMA 435,-61.647841,56.9515725,South Leslieshire,Illinois,99
CAH Y70,80.664479,2.79413,West Amandatown,Vermont,72
33B UF5,-174.723054,-28.068227,Kristinaburgh,South Carolina,81
35R 236,87.810372,-88.05238,East Amanda,Iowa,108
189 6868,-85.629656,-13.003242,Port Carmenmouth,Nevada,81
218 PPQ,176.44894,54.508342,New Johnchester,Washington,80
NJF-289,124.977125,-0.730644,West David,Georgia,64
IEO 4781,139.220398,3.0509875,New William,Wyoming,102
76-0990E,-171.86565,-12.8486205,Joefort,Oklahoma,95
65X•639,98.510505,20.923947,Colemanburgh,New Mexico,75
0K 5131O,-10.294361,35.348704,Port Kayla,South Dakota,85
2EL11,34.775126,38.1386055,West Brenda,Massachusetts,105
44UN3,64.373867,-45.46533,Stephaniebury,New Hampshire,102
8UM 387,120.517526,63.64655,Strongshire,Washington,94
9T041,159.107434,-70.468376,Port Jenniferton,Oklahoma,72
ACE-8498,-38.019817,26.532676,Johnsonfurt,Indiana,84
524 BJO,42.106012,87.7189445,New Christopher,Utah,74
69E SY9,8.795088,65.1239195,Lake John,New York,92
IDH-6957,61.845905,71.7173925,North Donaldstad,Rhode Island,68
DXQ-7216,62.265765,-52.123022,Port Scottland,Indiana,108
392-CVG,16.455368,12.5991095,Austinstad,New Mexico,94
6G 6D7NWZ,-37.324747,-62.252327,Weissshire,Massachusetts,96
H 555312,128.435419,-1.3965215,North Dale,Florida,64
KBD 7498,-151.240598,-15.952663,South Samantha,Washington,80
TKG 430,-44.945014,-71.3453895,West Markburgh,Nebraska,91
3ZP9171,-168.229353,-73.074697,West Michaelbury,Florida,72
19-F326,179.085645,-87.719797,Andersontown,Pennsylvania,100
160-UNS,65.423177,5.3421665,Mooretown,New Hampshire,88
Q 927642,-81.147997,64.3193325,Jocelynville,Louisiana,70
277 BZY,-44.712555,35.5734655,Port Ricardoside,Oklahoma,76
HCA 362,54.293357,52.164923,Port Caroline,New Hampshire,102
BWR 701,-114.676436,37.5250855,East Victorview,Massachusetts,83
786,-153.579217,66.8901745,Villaborough,Kansas,68
35F 512,151.429625,20.320103,Aguirrebury,Maryland,108
217 9529,83.733784,-28.7084805,South Paigeton,Michigan,76
253 SHA,159.746943,9.0173345,Lopezberg,Louisiana,103
928-112,-70.672417,-87.2423645,West Lynnview,Hawaii,82
66-02367,-34.214435,-20.5157925,Port Wendy,Louisiana,99
36Z•547,40.465951,-46.123976,East Michellefort,Nebraska,65
755 SHB,146.155263,86.9935565,Randallport,Tennessee,69
9W003,-52.134511,-53.0081675,New Robert,Maryland,103
P81 9BM,-122.010555,41.3668915,Walshville,Wisconsin,96
52SP6,-163.729504,1.9047405,Bryanville,Hawaii,108
35-Y850,29.369253,-14.2045295,East Sandra,Pennsylvania,70
GJ7 2290,-176.267596,49.533229,West Wayne,South Dakota,88
303-VUD,-22.533235,85.056016,Davisbury,Alaska,102
579 IOB,62.271032,-65.470101,New Julia,Colorado,88
4XVE 50,152.473714,-84.4549275,Port Denise,New Mexico,103
25-0801U,-90.101819,37.230896,Berrymouth,Minnesota,65
